Hey|core:greeting
Hey dude|core:greeting
Hey|core:greeting
Hi|core:greeting
Howdy!|core:greeting
Good to see you!|core:greeting
Nice to see you!|core:greeting
Long time no see!|core:greeting
It's been awhile|core:greeting
It's nice to meet you|core:greeting
Pleased to meet you|core:greeting
Hope you've been well|core:greeting
Hope you're doing well, man.|core:greeting
Hey homie|core:greeting
I hope everything is going well dude|core:greeting
Hope life's been treating you well|core:greeting
Yo|core:greeting
Yo dude|core:greeting
Yo homie|core:greeting
Yo dawg|core:greeting
Yo buddy|core:greeting
Hey buddy|core:greeting
Hey my man|core:greeting
Hey dude!|core:greeting
hey homie!|core:greeting
hey dude|core:greeting
good to see you|core:greeting
good to see you dude|core:greeting
I hope you're doing well|core:greeting
pleased to meet you|core:greeting
howdy!|core:greeting
yo|core:greeting
Long time no see|core:greeting
hey dude|core:greeting
Hi!|core:greeting
Hey man!|core:greeting
nice to meet you|core:greeting
howdy!|core:greeting
yo homie|core:greeting
Good morning!|core:greeting
Good afternoon!|core:greeting
Good evening!|core:greeting
morning dude!|core:greeting
Hope you're doing well|core:greeting
Morning dude!|core:greeting
Hey!|core:greeting
Hey dude|core:greeting
Hey good morning|core:greeting
good morning|core:greeting
Yo homie!|core:greeting
Hey!|core:greeting
Hope life's been treating you well|core:greeting
hey man|core:greeting
Hey dude!|core:greeting
hey man!|core:greeting
Hey man!|core:greeting
hey how's everything going|core:greeting
hey|core:greeting
yo|core:greeting
yo yo yo|core:greeting
howdy!|core:greeting
hey|core:greeting
hey|core:greeting
yo yo yo|core:greeting
hey|core:greeting
hey dude|core:greeting
hey|core:greeting
hey|core:greeting