What is the weather?|utils:weather
What's the weather right now|utils:weather
Hey what's the weather?|utils:weather
What's the & weather gonna be next Tuesday?|utils:weather
What's the weather here?|utils:weather
What's the temperature outside right now?|utils:weather
What is the temperature?|utils:weather
What is the temperature outside?|utils:weather
What temperature is it right now?|utils:weather
How many degrees is it right now?|utils:weather
What's the weather look like right now?|utils:weather
What's the weather forecast looking like?|utils:weather
Hey homie, what be the weather?|utils:weather
what's the weather|utils:weather
What's the weather right now?|utils:weather
Weather me|utils:weather
Is is supposed to rain today?|utils:weather
What's the forecast for today?|utils:weather
What's the weather forecast for today?|utils:weather
Hit me with the weather.|utils:weather
Is it gonna rain later?|utils:weather
How's the weather in Juno?|utils:weather
What temperature is it right now in San Francisco?|utils:weather
Is it supposed to storm later?|utils:weather
Likelihood for rain later?|utils:weather
Is it gonna be a nice day out today?|utils:weather
Nice day outside today?|utils:weather
Weather for the week?|utils:weather
Give me the extended forecast for Yosemite.|utils:weather
Extended forecast for Seaside|utils:weather
What temp is it right now in Nashville?|utils:weather
How long is it gonna stay sunny for?|utils:weather
Cloudy today?|utils:weather
Is it supposed to be overcast today?|utils:weather
Cloudy, sunny, or rainy later?|utils:weather
Does it look like rain later?|utils:weather
How cold is it gonna be later?|utils:weather
Is it supposed to be hot later today?|utils:weather
Is it supposed to be cold tomorrow?|utils:weather
Does it look like snow tomorrow?|utils:weather
How hot is it going to be this week?|utils:weather
What does the heat index look like?|utils:weather
What temperature does it appear to be?|utils:weather
Are there clouds in the sky today jarvis?|utils:weather
Is it burning up out there today or no?|utils:weather
Is it freezing today?|utils:weather
Does it seem to be drizzling outside?|utils:weather
How many degrees it is outside?|utils:weather
Is it dewy outside today?|utils:weather
How humid is it going to be in Arizona today?|utils:weather
Is it frosty here today?|utils:weather
Is Nashville supposed to be overcast today?|utils:weather
How windy is it today?|utils:weather
Show me how windy it is.|utils:weather
Tell me what the temperature is.|utils:weather
Does it look like tornadoes for the week?|utils:weather
Is there going to be a hurricane in Florida this week?|utils:weather
Are there going to be flurries tonight Jarvis?|utils:weather
Gale force winds tonight or no?|utils:weather
Show me the weekly forecast.|utils:weather
How much is it predicted to snow on Friday?|utils:weather
Should I bring my rain jacket to the game tonight?|utils:weather
Should I bring my jacket with me?|utils:weather
Do I need long sleeves today?|utils:weather
Can I get away with wearing short sleeves today?|utils:weather
Should I wear shorts today?|utils:weather
Can I wear shorts today?|utils:weather
Should I bring my umbrella with me today?|utils:weather
Bring or not bring my umbrella to work?|utils:weather
How foggy is it right now?|utils:weather
Is there supposed to be an avalanche tonight?|utils:weather
How drizzily does it look out right now?|utils:weather
Is next week supposed to be rainy?|utils:weather
Is it supposed to be cold tonight?|utils:weather
Should I dress warm tonight?|utils:weather
How cold is it outside?|utils:weather
How breezy it is right now?|utils:weather
How warm is it outside here?|utils:weather
Is a cold front coming through?|utils:weather
How likely is a thunderstorm tonight?|utils:weather
Should I expect lightning tonight?|utils:weather
How icy are the roads right now?|utils:weather
Will there be black ice on the roads?|utils:weather
How are the conditions outside right now?|utils:weather
Gimme the weather for St. Louis for next week.|utils:weather
Rain snow mix expected for tonight?|utils:weather
Is it supposed to sleet or hail today?|utils:weather
Is it sleeting right now?|utils:weather
How icy is the rain today?|utils:weather
Should I expect snowfall later?|utils:weather
How snowy is it in Alaska currently?|utils:weather
Are there snow flurries or snowflakes out right now?|utils:weather
Ball me with the weather.|utils:weather
hmu with the weather.|utils:weather
Is there a storm warning right now?|utils:weather
What's the wind chill right now?|utils:weather
How chilly willy is it right fucking now?|utils:weather
Is it fucking cold right now?|utils:weather
How likely is precipitation for later?|utils:weather
How's friday's weather look?|utils:weather
how's the weather today jarvis?|utils:weather
rain today homie?|utils:weather
weather today?|utils:weather
wait what was the forecast for tmw again?|utils:weather
yo what the weather homie?|utils:weather
Is it rainin right now?|utils:weather
who's the boss doe?|utils:weather
weather me bro|utils:weather
my weather is what?|utils:weather
weather doe?|utils:weather
weather me homie|utils:weather
hit me with that weather|utils:weather
rain tomorrow?|utils:weather
stormy later?|utils:weather
hey man, how's the weather today|utils:weather
is it raining?|utils:weather
how about those snow flurries?|utils:weather
weather me that?|utils:weather
weather ?|utils:weather
To whom am I speaking with?|utils:weather
hi|utils:weather
what's the weather doe?|utils:weather
is it supposed to snow later?|utils:weather
storms later?|utils:weather
how's the climate?|utils:weather
how humid is it outside rn?|utils:weather
When's it gonna stop raining?|utils:weather
how's the weather?|utils:weather
what's the weather gonna be like tomorrow?|utils:weather
how's the weather?|utils:weather
hey dude weather me|utils:weather
what's the weather homie?|utils:weather
how the weather be?|utils:weather